DRIVER_ID,amin,amax,Nmonths,Gender,Age,ZIP,OdoStart,OdoEnd,DeltaOdo,DeltaDays,AnnualMileage,ClaimTot,ClaimFlag
1,2010-02-24 00:00:00,2013-08-07 00:00:00,42,M,67,43725.0,27264,59200,31936,1260 days 00:00:00.000000000,9257.638095238095,8192.39,1
2,2010-04-18 00:00:00,2013-08-31 00:00:00,41,F,49,44149.0,53627,131606,77979,1231 days 00:00:00.000000000,23137.1484565394,,0
3,2011-02-14 00:00:00,2011-06-13 00:00:00,5,M,41,43123.0,3098,11122,8024,119 days 00:00:00.000000000,24628.285714285714,665.62,1
4,2013-03-15 00:00:00,2013-08-12 00:00:00,6,M,64,44646.0,114,8400,8286,150 days 00:00:00.000000000,20176.41,,0
5,2011-03-02 00:00:00,2013-08-19 00:00:00,28,M,67,43719.0,11,37222,37211,901 days 00:00:00.000000000,15084.703385127636,106.0,1
6,2009-08-17 00:00:00,2011-02-07 00:00:00,19,M,66,43719.0,25333,44990,19657,539 days 00:00:00.000000000,13320.44387755102,387.97,1
7,2010-03-08 00:00:00,2013-01-22 00:00:00,35,M,73,44121.0,26715,50486,23771,1051 days 00:00:00.000000000,8261.044481446243,0.0,1
8,2010-01-11 00:00:00,2012-12-25 00:00:00,35,M,48,45103.0,106541,175411,68870,1079 days 00:00:00.000000000,23313.037534754403,,0
9,2013-02-20 00:00:00,2013-08-24 00:00:00,7,M,51,45103.0,1051,14546,13495,185 days 00:00:00.000000000,26643.506756756757,,0
10,2013-06-15 00:00:00,2013-08-14 00:00:00,3,M,33,45066.0,2440,5355,2915,60 days 00:00:00.000000000,17745.0625,,0
11,2011-05-25 00:00:00,2013-09-11 00:00:00,10,F,40,44138.0,75,8909,8834,840 days 00:00:00.000000000,3841.2125,,0
12,2010-01-13 00:00:00,2013-08-25 00:00:00,43,F,44,44144.0,1557,44287,42730,1320 days 00:00:00.000000000,11823.585227272728,0.0,1
13,2011-12-19 00:00:00,2013-08-31 00:00:00,21,M,52,44312.0,405,17979,17574,621 days 00:00:00.000000000,10336.398550724636,,0
14,2010-08-23 00:00:00,2013-09-06 00:00:00,37,M,46,45039.0,2536,61349,58813,1110 days 00:00:00.000000000,19352.65608108108,,0
15,2013-08-29 00:00:00,2013-08-29 00:00:00,1,M,92,45377.0,25861,25861,0,0 days 00:00:00.000000000,,,0
16,2009-08-28 00:00:00,2013-07-25 00:00:00,44,M,53,44843.0,1429,85746,84317,1427 days 00:00:00.000000000,21581.48861247372,,0
17,2009-08-18 00:00:00,2010-02-23 00:00:00,7,M,39,43056.0,2658,7361,4703,189 days 00:00:00.000000000,9088.734126984127,,0
18,2010-01-10 00:00:00,2013-09-18 00:00:00,39,M,88,44138.0,16041,23509,7468,1347 days 00:00:00.000000000,2025.008908685969,,0
19,2009-08-13 00:00:00,2009-09-12 00:00:00,2,M,74,45459.0,7699,8735,1036,30 days 00:00:00.000000000,12613.300000000001,,0
20,2010-06-15 00:00:00,2010-08-15 00:00:00,3,F,45,44412.0,595,3596,3001,61 days 00:00:00.000000000,17969.102459016394,,0
21,2011-05-25 00:00:00,2011-10-03 00:00:00,6,,111,44706.0,675,4545,3870,131 days 00:00:00.000000000,10790.209923664122,,0
22,2011-05-20 00:00:00,2013-08-07 00:00:00,28,M,69,44870.0,26142,47932,21790,810 days 00:00:00.000000000,9825.675925925925,,0
23,2010-01-13 00:00:00,2010-11-09 00:00:00,11,M,64,45385.0,983,10035,9052,300 days 00:00:00.000000000,11020.810000000001,,0
24,2010-12-03 00:00:00,2011-05-02 00:00:00,6,M,65,45385.0,30,3728,3698,150 days 00:00:00.000000000,9004.630000000001,,0
25,2011-05-17 00:00:00,2013-09-04 00:00:00,27,M,61,44266.0,45077,67306,22229,841 days 00:00:00.000000000,9654.15249702735,,0
26,2012-02-18 00:00:00,2013-08-02 00:00:00,18,,112,45324.0,74,4563,4489,531 days 00:00:00.000000000,3087.7725988700563,,0
27,2010-01-05 00:00:00,2013-08-23 00:00:00,40,M,69,44144.0,2297,24248,21951,1326 days 00:00:00.000000000,6046.45757918552,,0
28,2011-05-31 00:00:00,2013-08-17 00:00:00,28,M,77,44451.0,17362,31415,14053,809 days 00:00:00.000000000,6344.69499381953,,0
29,2009-08-27 00:00:00,2011-05-22 00:00:00,18,M,83,45039.0,45700,54157,8457,633 days 00:00:00.000000000,4879.809241706162,,0
30,2011-05-29 00:00:00,2013-02-13 00:00:00,21,M,50,45013.0,3239,29055,25816,626 days 00:00:00.000000000,15062.76996805112,,0
31,2009-09-06 00:00:00,2011-08-23 00:00:00,19,M,61,43017.0,3541,7616,4075,716 days 00:00:00.000000000,2078.762220670391,,0
32,2013-04-16 00:00:00,2013-08-15 00:00:00,5,F,73,45236.0,14042,14887,845,121 days 00:00:00.000000000,2550.712809917355,,0
33,2013-04-26 00:00:00,2013-07-25 00:00:00,3,F,53,45204.0,1122,3581,2459,90 days 00:00:00.000000000,9979.441666666668,,0
34,2013-09-18 00:00:00,2013-09-18 00:00:00,1,F,54,44820.0,431,431,0,0 days 00:00:00.000000000,,,0
35,2013-06-06 00:00:00,2013-08-09 00:00:00,3,F,26,43110.0,17,3085,3068,64 days 00:00:00.000000000,17509.171875,,0
36,2011-06-13 00:00:00,2013-08-10 00:00:00,26,F,54,45385.0,23,4948,4925,789 days 00:00:00.000000000,2279.919201520913,,0
37,2013-04-03 00:00:00,2013-06-03 00:00:00,3,M,57,44212.0,838,1593,755,61 days 00:00:00.000000000,4520.7172131147545,,0
38,2011-05-16 00:00:00,2013-08-31 00:00:00,28,F,44,43973.0,41163,75083,33920,838 days 00:00:00.000000000,14784.343675417662,2746.44,1
39,2010-05-21 00:00:00,2011-03-07 00:00:00,11,M,72,44212.0,754,5710,4956,290 days 00:00:00.000000000,6241.996551724138,,0
40,2009-12-05 00:00:00,2010-03-24 00:00:00,4,F,64,44902.0,2590,3138,548,109 days 00:00:00.000000000,1836.302752293578,,0
41,2013-03-22 00:00:00,2013-08-03 00:00:00,6,M,57,45439.0,2106,2404,298,134 days 00:00:00.000000000,812.2723880597015,,0
42,2010-02-09 00:00:00,2010-02-09 00:00:00,1,M,34,44035.0,17486,17486,0,0 days 00:00:00.000000000,,,0
43,2009-08-06 00:00:00,2011-05-31 00:00:00,16,M,72,43408.0,26334,31940,5606,663 days 00:00:00.000000000,3088.3733031674205,,0
44,2009-08-07 00:00:00,2010-02-03 00:00:00,6,M,56,44145.0,7711,14274,6563,180 days 00:00:00.000000000,13317.420833333334,,0
45,2009-08-07 00:00:00,2013-07-28 00:00:00,44,M,76,44130.0,24123,49397,25274,1451 days 00:00:00.000000000,6362.0458304617505,,0
